City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
506,chuy,-33.6971,-53.4616,77.01800000000009,56,15,5.24,UY,1675609698
507,tatawin,32.9297,10.4518,59.18000000000004,45,26,6.57,TN,1675609698
508,edd,13.9297,41.6925,78.96200000000006,77,100,4.43,ER,1675609699
509,mineiros,-17.5694,-52.5511,79.19600000000005,69,100,1.34,BR,1675609701
510,bilma,18.6853,12.9164,84.83000000000004,11,53,5.34,NE,1675609702
511,torres,-29.3353,-49.7269,81.82400000000001,35,69,2.6,BR,1675609703
512,yeppoon,-23.1333,150.7333,80.38399999999999,87,66,4.77,AU,1675609703
513,broome,42.2506,-75.833,32.19800000000002,61,0,3.58,US,1675609704
514,haines junction,60.7522,-137.5108,-1.2999999999999474,100,96,0.58,CA,1675609705
515,sagarejo,41.734,45.3315,36.03200000000002,49,73,1.01,GE,1675609706
516,great yarmouth,52.6083,1.7305,48.50600000000003,83,100,5.54,GB,1675609707
517,embu,-23.6489,-46.8522,80.63600000000007,72,76,5.13,BR,1675609708
518,kaeo,-35.1,173.7833,67.316,95,100,1.76,NZ,1675609709
519,araouane,18.9048,-3.5265,79.07000000000006,12,99,4.44,ML,1675609711
520,cristalina,-16.7686,-47.6136,78.60200000000007,56,84,1.73,BR,1675609711
521,machesney park,42.3472,-89.039,35.22200000000004,82,75,4.12,US,1675609712
522,medea,36.2642,2.7539,50.233999999999995,62,0,3.87,DZ,1675609713
523,aksarka,66.5606,67.7975,-7.221999999999937,99,58,2.85,RU,1675609714
524,flin flon,54.7682,-101.865,0.5180000000000362,97,100,1.87,CA,1675609715
525,verkhoyansk,67.5447,133.385,-31.19799999999998,99,100,0.57,RU,1675609715
526,kodiak,57.79,-152.4072,35.11400000000003,93,100,13.89,US,1675609715
527,samarai,-10.6167,150.6667,79.39400000000008,86,100,5.67,PG,1675609716
528,pilar,-9.5972,-35.9567,85.92800000000007,48,53,5.33,BR,1675609545
529,kavaratti,10.5669,72.642,81.53600000000007,72,3,2.39,IN,1675609717
530,viedma,-40.8135,-62.9967,95.16200000000006,17,72,8.66,AR,1675609717
531,bellefontaine,40.3612,-83.7597,42.314000000000036,56,100,4.02,US,1675609718
532,coahuayana,18.7333,-103.6833,77.82800000000006,36,0,0.89,MX,1675609718
533,kawalu,-7.3817,108.2082,74.08399999999999,89,99,0.94,ID,1675609719
534,oranjemund,-28.55,16.4333,69.08000000000004,75,4,10.22,NA,1675609719
535,octeville,49.6261,-1.6435,45.08600000000007,81,100,5.6,FR,1675609720
536,pingliang,35.5392,106.6861,34.610000000000085,37,1,3.14,CN,1675609720
537,auray,47.6703,-2.9918,55.418000000000085,74,40,4.87,FR,1675609721
538,porbandar,21.6422,69.6093,72.68000000000004,54,12,5.71,IN,1675609721
539,hilsa,25.3167,85.2833,69.72800000000007,47,0,3.15,IN,1675609723
540,rodrigues alves,-7.738,-72.6509,72.57200000000003,97,100,1.16,BR,1675609723
541,sorland,67.667,12.6934,39.056000000000026,65,75,5.66,NO,1675609724
542,pag,44.445,15.0575,39.77600000000009,47,6,6.07,HR,1675609725
543,wladyslawowo,54.7909,18.4009,34.79000000000002,78,99,2.66,PL,1675609726
544,bima,-8.4667,118.7167,76.316,94,100,1.73,ID,1675609726
545,mwense,-10.3845,28.698,73.61600000000001,81,89,1.04,ZM,1675609727
546,poronaysk,49.2167,143.1167,-9.219999999999956,96,91,1.18,RU,1675609728
547,nantucket,41.2835,-70.0995,43.141999999999996,74,0,7.2,US,1675609729
548,semirom,31.4167,51.5667,16.07000000000006,79,3,0.99,IR,1675609730
549,saint-augustin,51.226,-58.6502,-3.2979999999999734,67,95,4.28,CA,1675609730
550,bossangoa,6.4926,17.4552,101.03000000000004,8,68,2.59,CF,1675609730
551,saint-francois,46.4154,3.9054,47.641999999999996,69,100,6.17,FR,1675609613
552,dubrovnik,42.6481,18.0922,38.84000000000002,28,0,5.66,HR,1675609731
553,valdosta,30.8327,-83.2785,55.346000000000046,91,100,0.0,US,1675609669
554,itoman,26.1247,127.6694,68.01800000000009,83,100,4.12,JP,1675609731
555,calamar,10.2511,-74.9146,85.67600000000009,45,99,3.46,CO,1675609732
556,imeni poliny osipenko,52.4201,136.4853,-11.487999999999943,100,100,0.22,RU,1675609732
557,san patricio,28.017,-97.5169,63.89600000000005,86,0,0.76,US,1675609733
558,upington,-28.4478,21.2561,82.77800000000006,51,91,5.14,ZA,1675609433
559,lorengau,-2.0226,147.2712,80.49199999999999,81,100,1.78,PG,1675609733
560,pemangkat,1.1667,108.9667,77.59400000000008,87,98,2.17,ID,1675609735
561,aleksandrovka,46.8383,32.7612,32.846000000000046,66,100,6.38,UA,1675609735
562,bonthe,7.5264,-12.505,87.62000000000006,56,99,6.11,SL,1675609736
563,buraydah,26.326,43.975,70.25,24,70,1.58,SA,1675609473
564,mogadishu,2.0371,45.3438,78.58399999999999,74,52,9.12,SO,1675609612
565,dunedin,-45.8742,170.5036,65.80400000000006,47,85,4.02,NZ,1675609736
566,buchanan,5.8808,-10.0467,85.19000000000003,68,99,4.12,LR,1675609438
567,balykshi,47.0667,51.8667,8.600000000000001,92,24,3.0,KZ,1675609738
568,tyukalinsk,55.8732,72.1967,1.544000000000075,99,100,1.86,RU,1675609739
569,saint-pierre,-21.3393,55.4781,82.07600000000009,74,40,9.26,RE,1675609495
